,wgt,total_return_1d,factor1,factor2,factor3,factor4,factor5,Intercept,country_AU,country_BE,country_CA,country_CH,country_CN,country_DE,country_DK,country_ES,country_FI,country_FR,country_GB,country_HK,country_IE,country_IT,country_JP,country_NL,country_NO,country_SE,country_US,sector_50,sector_51,sector_52,sector_53,sector_54,sector_55,sector_56,sector_57,sector_59,sector_60
55,0.00023278,0.030641101,0.050809765,-2.075994493,-0.69789321,2.267307393,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
56,0.000373989,0.004129163,-0.673863167,-1.181679037,0.180690349,1.936242882,-0.284626845,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
57,0.000246233,0.0034682,0.522783828,0.682852488,-0.940928832,2.057857995,-0.038839674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
58,0.00059103,-0.020971106,-0.003251,-0.889960313,0.842267831,1.660675751,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
59,0.001155946,-0.009380194,-0.245972471,1.772552805,0.161867226,-0.493927567,-0.091416327,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
60,0.000354396,0.016370399,-0.511791919,-0.494705825,0.236857226,2.23767343,-0.617703592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
61,0.000598568,0.011128577,-0.54811767,0.120286214,0.34481883,1.729057905,-0.395779009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
62,0.000583776,0.01199596,-0.762463118,0.061574213,0.627792263,2.146008376,1.504155546,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
63,0.000149012,0.009465283,0.268436353,1.262670409,0.562184592,2.502168397,-1.657574802,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
64,0.001103147,0.004051347,-0.307434257,0.293562426,0.566584704,0.484732284,1.209727045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
65,0.000107713,0.0262843,-0.452835245,-0.506362963,0.551125849,2.564025605,1.478105971,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
66,0.000234504,0.005709668,-0.053248716,-0.484477589,0.945014629,2.467820968,0.204615756,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
67,0.000617418,0.002257346,-0.628428217,-0.180589486,0.697146765,1.534824993,-0.208235856,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
